cset: --> last message, executed args into cpuset "/user", new pid is: 75972
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
32,64,1024,8,False,True,False,cpu,422913,12724,5,39
32,64,1024,16,False,True,False,cpu,428806,10287,5,78
32,256,16,1,False,True,False,cpu,6047,31,331,21
32,256,16,8,False,True,False,cpu,30078,49,67,34
32,256,16,16,False,True,False,cpu,53713,89,38,39
32,256,256,1,False,True,False,cpu,224026,5886,9,9
32,256,256,8,False,True,False,cpu,237756,2717,9,70
32,256,256,16,False,True,False,cpu,270388,1123,8,124
32,256,1024,1,False,True,False,cpu,1857901,38067,2,4
32,256,1024,8,False,True,False,cpu,1844305,24209,2,36
32,256,1024,16,False,True,False,cpu,1881773,27747,2,71
16,1,16,1,False,False,True,cpu,328,6,6080,0
16,1,16,8,False,False,True,cpu,377,6,5298,5
16,1,16,16,False,False,True,cpu,407,7,4907,10
16,1,256,1,False,False,True,cpu,939,356,2129,4
16,1,256,8,False,False,True,cpu,815,95,2453,40
16,1,256,16,False,False,True,cpu,899,72,2223,72
16,1,1024,1,False,False,True,cpu,4018,17,498,4
16,1,1024,8,False,False,True,cpu,5542,1084,361,23
16,1,1024,16,False,False,True,cpu,4755,522,421,55
16,64,16,1,False,False,True,cpu,865,11,2311,18
16,64,16,8,False,False,True,cpu,2899,16,690,45
16,64,16,16,False,False,True,cpu,5925,23,338,44
16,64,256,1,False,False,True,cpu,22573,1942,89,11
16,64,256,8,False,False,True,cpu,24884,623,81,84
16,64,256,16,False,False,True,cpu,28190,526,71,148
16,64,1024,1,False,False,True,cpu,195642,21464,11,5
16,64,1024,8,False,False,True,cpu,198297,3766,11,42
16,64,1024,16,False,False,True,cpu,199310,3897,11,84
16,256,16,1,False,False,True,cpu,2331,17,858,28
16,256,16,8,False,False,True,cpu,10845,29,185,48
16,256,16,16,False,False,True,cpu,22815,48,88,45
16,256,256,1,False,False,True,cpu,90010,3996,23,11
16,256,256,8,False,False,True,cpu,102564,1810,20,81
16,256,256,16,False,False,True,cpu,112165,1100,18,149
16,256,1024,1,False,False,True,cpu,752984,39545,3,5
16,256,1024,8,False,False,True,cpu,795430,8946,3,42
16,256,1024,16,False,False,True,cpu,821916,34648,3,81
32,1,16,1,False,False,True,cpu,343,6,5827,1
32,1,16,8,False,False,True,cpu,457,8,4371,8
32,1,16,16,False,False,True,cpu,539,8,3707,15
32,1,256,1,False,False,True,cpu,1207,418,1657,6
32,1,256,8,False,False,True,cpu,1289,130,1552,50
32,1,256,16,False,False,True,cpu,1538,111,1301,85
32,1,1024,1,False,False,True,cpu,8014,3147,250,4
32,1,1024,8,False,False,True,cpu,8511,1204,235,30
32,1,1024,16,False,False,True,cpu,9134,902,219,57
32,64,16,1,False,False,True,cpu,1670,23,1198,19
